Table of constant values and their specified constant labels.

80  DIPSW_port
02  DATA_port
01  UART_status_port
01  tx_half_full
02  tx_full
04  rx_half_full
08  rx_full
10  rx_data_present
02  UART_read_port
01  UART_write_port
20  string_start
61  character_a
62  character_b
63  character_c
64  character_d
65  character_e
66  character_f
67  character_g
68  character_h
69  character_i
6A  character_j
6B  character_k
6C  character_l
6D  character_m
6E  character_n
6F  character_o
70  character_p
71  character_q
72  character_r
73  character_s
74  character_t
75  character_u
76  character_v
77  character_w
78  character_x
79  character_y
7A  character_z
41  character_uA
42  character_uB
43  character_uC
44  character_uD
45  character_uE
46  character_uF
47  character_uG
48  character_uH
49  character_uI
4A  character_uJ
4B  character_uK
4C  character_uL
4D  character_uM
4E  character_uN
4F  character_uO
50  character_uP
51  character_uQ
52  character_uR
53  character_uS
54  character_uT
55  character_uU
56  character_uV
57  character_uW
58  character_uX
59  character_uY
5A  character_uZ
30  character_0
31  character_1
32  character_2
33  character_3
34  character_4
35  character_5
36  character_6
37  character_7
38  character_8
39  character_9
3A  character_colon
3B  character_semi_colon
3C  character_less_than
3E  character_greater_than
3D  character_equals
20  character_space
0D  character_CR
3F  character_question
24  character_dollar
08  character_BS
